Name,Type,URL,Image_URL,Second_Image_URL,Color
Double Breasted Coat,Coat,https://www.amiparis.com/en-us/products/blue-wool-double-breasted-coat-fco110wv00494011,https://www.amiparis.com/cdn/shop/files/a5b4bf8e78b0ca9f5998a501ed303eba_66dfecac-ce02-4348-a4f7-15da55b8cdec.jpg?v=1732843496&width=500,https://www.amiparis.com/cdn/shop/files/8d0372d0d38234236ec1489df80bbb42_c153df10-7acc-46e3-8b31-4d190f61e979.jpg?v=1732843496&width=2560,NAVY BLUE
Belted Mac,Mac,https://www.amiparis.com/en-us/products/blue-cotton-belted-mac-ujk505co00814018,https://www.amiparis.com/cdn/shop/files/5dcd4a694b4de6f44b241f7d0d3a0249.jpg?v=1732840453&width=500,https://www.amiparis.com/cdn/shop/files/62639ad373bb56081e9e83cc2c761da8_9da7387f-10fa-4f67-8ee7-386f3141eb4e.jpg?v=1732840453&width=2560,NAVY BLUE/ CLAY BLUE
Double Breasted Jacket,Jacket,https://www.amiparis.com/en-us/products/blue-wool-double-breasted-jacket-fbv217wv00264011,https://www.amiparis.com/cdn/shop/files/fa23eec3913632a4b8ac60ea676a6e2b_eb34ff67-8980-408c-9c88-39bb1fa8d1ae.jpg?v=1732843275&width=500,https://www.amiparis.com/cdn/shop/files/30132c6b971049014ae42e28dba6565a_5b072ebd-46b6-423b-a552-975917c92488.jpg?v=1732843275&width=2560,NAVY BLUE
High Collar Coat,Coat,https://www.amiparis.com/en-us/products/blue-wool-high-collar-coat-fco008wv00494011,https://www.amiparis.com/cdn/shop/files/037576d8159ac3020bb262a6fb198fd5_eaf6b27a-0bc4-4150-8db8-e2248b276178.jpg?v=1732840472&width=500,https://www.amiparis.com/cdn/shop/files/c81abed469585955aae1a2908249df93.jpg?v=1732840472&width=2560,NAVY BLUE
Low Necked Tanktop,Tanktop,https://www.amiparis.com/en-us/products/blue-cotton-low-necked-tanktop-ftk128je00704011,https://www.amiparis.com/cdn/shop/files/a1cf3b5fa92f386aa72cfd211847a76e_ba233278-6f41-416a-b7f3-19286adf3f43.jpg?v=1732840398&width=500,https://www.amiparis.com/cdn/shop/files/bf00cc8190bee2a8f5843fbee3e162e0_8ec2be54-a065-4256-8fa4-d08333f59e9c.jpg?v=1732840398&width=2560,NAVY BLUE
Wide Elasticated Waist Trousers,Trousers,https://www.amiparis.com/en-us/products/blue-wool-wide-elasticated-waist-trousers-utr212wv00184011,https://www.amiparis.com/cdn/shop/files/965bff59e0f6027d4a3f6099a065fbd9.jpg?v=1732871951&width=500,https://www.amiparis.com/cdn/shop/files/c60058a03da396d9bbbff98e446e38aa_585702f0-bf99-4e90-b775-4b2394439e35.jpg?v=1732871951&width=2560,NAVY BLUE
Leather Two Buttons Jacket,Jacket,https://www.amiparis.com/en-us/products/beige-leather-leather-two-buttons-jacket-fbv109lh0045273,https://www.amiparis.com/cdn/shop/files/eae5e6d2fc284049499f317c36d5a3ce_36a8dd96-cfcb-4df5-a936-368387522bef.jpg?v=1732843492&width=500,https://www.amiparis.com/cdn/shop/files/2652871a639490357b8308f35b00413f_97ff3ee4-12d8-4892-885c-613f4e5e4dd2.jpg?v=1732843492&width=2560,LIGHT SAND
Leather Straight Fit Trousers,Trousers,https://www.amiparis.com/en-us/products/beige-leather-leather-straight-fit-trousers-ftr514lh0045273,https://www.amiparis.com/cdn/shop/files/14ff92f063b38e3ef162739c90df777e_3d0ec0c3-5577-44ce-8c7a-6651a7f82cb2.jpg?v=1732841255&width=500,https://www.amiparis.com/cdn/shop/files/e3b36b87501fb1e680d652d2bab04a08_15af9b32-b7fd-4058-8965-06ae389e66ad.jpg?v=1732841255&width=2560,LIGHT SAND
Ami Cropped Polo,Polo,https://www.amiparis.com/en-us/products/beige-wool-ami-cropped-polo-fpl318750255,https://www.amiparis.com/cdn/shop/files/eab6b0f923aae6338c5df97c500d2bd8_90c3772a-fe83-4f26-a522-230b6a0e0f93.jpg?v=1732843518&width=500,https://www.amiparis.com/cdn/shop/files/ac0d39c083196da028511648a072d793_ca866200-16c8-4f8c-9919-6930b08937ef.jpg?v=1732843518&width=2560,SAND
Button-Down Ami de Coeur Shirt,Shirt,https://www.amiparis.com/en-us/products/white-cotton-button-down-ami-de-coeur-shirt-ush060co0149150,https://www.amiparis.com/cdn/shop/files/37bf107c84f93e59da3e82c6ef0533e6_3bbd90ce-e1a1-447d-9af1-769481123301.jpg?v=1732873897&width=500,https://www.amiparis.com/cdn/shop/files/dbd26394070240c5a6b7f8a7b7d3c102_8973e9de-1fa7-494b-879c-9425f00fca49.jpg?v=1732873897&width=2560,OFF WHITE
Ami de Coeur Overshirt,Overshirt,https://www.amiparis.com/en-us/products/white-cotton-ami-de-coeur-overshirt-ujk261co0037150,https://www.amiparis.com/cdn/shop/files/95060c9cdc9a9b2d57a0837b7be2f0c8_2023600e-0e37-475f-b05f-5bdc23e2856d.jpg?v=1732873207&width=500,https://www.amiparis.com/cdn/shop/files/a846df1500398029baa2a4b1c6aa7ab6_a0607d7d-e825-499d-af70-02d107a0fbdb.jpg?v=1732873207&width=2560,OFF WHITE
Alpaca Mohair Brushed Sweater,Sweater,https://www.amiparis.com/en-us/products/beige-wool-alpaca-mohair-brushed-sweater-fks447kn0056250,https://www.amiparis.com/cdn/shop/files/277bbd884dadf1dc3e6320cb6b8f0812_5e83bfc7-3243-40ff-85b8-58ebeca72117.jpg?v=1732840658&width=500,https://www.amiparis.com/cdn/shop/files/c0784f181d7d87ea3aa96e576c005926_f9e1d398-75aa-4e7a-8689-8f18ddec98b6.jpg?v=1732840658&width=2560,BEIGE
Shearling Zipped Jacket,Jacket,https://www.amiparis.com/en-us/products/brown-leather-shearling-zipped-jacket-ujk021lh0040221,https://www.amiparis.com/cdn/shop/files/8a690fad67dcfa4aa95d2e647e7de336_b89e6f75-f51d-4d9d-bc5d-e8f0fee4bf64.jpg?v=1732843475&width=500,https://www.amiparis.com/cdn/shop/files/b7b757b523ca67bfae62e2e121881cf0_6237d4f5-eb12-49b8-a6b3-3a404c1cede9.jpg?v=1732843475&width=2560,DARK COFFEE
Scarf Collar Shirt,Shirt,https://www.amiparis.com/en-us/products/beige-cotton-scarf-collar-shirt-ush104co0063255,https://www.amiparis.com/cdn/shop/files/f6a855046cb2ca9f264ab0d3ccf4db7d_f7e3f923-8731-467c-9642-63859889fe09.jpg?v=1732870086&width=500,https://www.amiparis.com/cdn/shop/files/3da5d7f46a10e69c185f899f8ce5ef96_83714d44-9351-4c2d-a65b-c45e2cc95f84.jpg?v=1732870086&width=2560,SAND
Ami de Coeur Classic Shirt,Shirt,https://www.amiparis.com/en-us/products/white-cotton-ami-de-coeur-classic-shirt-fsh061co0063100,https://www.amiparis.com/cdn/shop/files/b5efca1fd25130c58a138f328ef6dcbe_9b073938-7756-4555-b21d-2f82eb69a1f7.jpg?v=1732843495&width=500,https://www.amiparis.com/cdn/shop/files/1b0cf243a3fbc5c3f5c80336f8d7ab50_7a1bed91-0eaf-48a2-85fd-ed5c23018299.jpg?v=1732843495&width=2560,WHITE
Belted Car Coat,Coat,https://www.amiparis.com/en-us/products/brown-cashmere-belted-car-coat-uco004wv0022221,https://www.amiparis.com/cdn/shop/files/e16ba275785f8f488b867dfff86ab1dc_ea62a147-af19-4595-943b-a9184bfcecfa.jpg?v=1732868308&width=500,https://www.amiparis.com/cdn/shop/files/e90615698948b5a7e5b764f089ceae5a_747ddd09-64d6-478b-b81d-fac38487da0d.jpg?v=1732868308&width=2560,DARK COFFEE
Sleeveless Military Jacket,Jacket,https://www.amiparis.com/en-us/products/brown-wool-sleeveless-military-jacket-ubv757wv00482007,https://www.amiparis.com/cdn/shop/files/5c20addb4173e3cb3ea0f727a66bd153_b07ee079-5eb0-40b6-a2c2-0098c846ae3d.jpg?v=1732841011&width=500,https://www.amiparis.com/cdn/shop/files/f2d7368ced46adaeb9806c9d7ce8c546_6b9ed5db-e554-4aa7-b895-7726619e9ad9.jpg?v=1732841011&width=2560,DARK COFFE/SABLE
Wide Elasticated Waist Trousers,Trousers,https://www.amiparis.com/en-us/products/brown-wool-wide-elasticated-waist-trousers-utr212wv0018221,https://www.amiparis.com/cdn/shop/files/f778d249a5117873ac85fef80356bd95_2c31fa55-754b-4810-b1f0-c75cf971d482.jpg?v=1732871222&width=500,https://www.amiparis.com/cdn/shop/files/58108ae11ec5fb557d54919273a92766_18465304-a9a7-4739-af66-9c97de629ed5.jpg?v=1732871222&width=2560,DARK COFFEE
Double Breasted Jacket,Jacket,https://www.amiparis.com/en-us/products/black-wool-double-breasted-jacket-fbv417wv0026001,https://www.amiparis.com/cdn/shop/files/26f7f01555effa016d90117da0cb684a_992c1fdc-452c-4169-97b0-ccd62bd52c5a.jpg?v=1732840304&width=500,https://www.amiparis.com/cdn/shop/files/676c7b5aec19f44b191de8b13615059b_1e7cf5ec-05b7-4f4c-b11d-03bbfb364cdf.jpg?v=1732840304&width=2560,BLACK
Ami de Coeur Pointelle Midi Dress,Dress,https://www.amiparis.com/en-us/products/black-cotton-wool-ami-de-coeur-pointelle-midi-dress-fdr235kn0049001,https://www.amiparis.com/cdn/shop/files/0494349efe9802932dbbb81161850115_2904d580-581d-4454-8685-de4e4a79a482.jpg?v=1732840582&width=500,https://www.amiparis.com/cdn/shop/files/98526cae95869591430ce43e39c984ac.jpg?v=1732840582&width=2560,BLACK
High Waist Large Trousers,Trousers,https://www.amiparis.com/en-us/products/black-wool-high-waist-large-trousers-ftr428wv0026001,https://www.amiparis.com/cdn/shop/files/cb9b0c00dd79f0b9b4db6de24f28bd9f_827b7819-8967-42b5-b520-0a0cad689755.jpg?v=1732843823&width=500,https://www.amiparis.com/cdn/shop/files/eeb7f01f338f62347ab6dacb0196841c_cfc8011a-520d-4289-9146-6234360f27a9.jpg?v=1732843823&width=2560,BLACK
Ascot Tie Shirt,Shirt,https://www.amiparis.com/en-us/products/black-silk-ascot-tie-shirt-fsh407se0008001,https://www.amiparis.com/cdn/shop/files/ed11b07088d33fa513d81ca81693b6a7_236acc99-bec3-4bd5-9c8f-c317b0174814.jpg?v=1732840282&width=500,https://www.amiparis.com/cdn/shop/files/226733c19b9a4689cfae4845b31828f4_53324b1c-e52d-4a68-8122-534f68f70cab.jpg?v=1732840282&width=2560,BLACK
Long Sleeve Fluide Top,Top,https://www.amiparis.com/en-us/products/black-cotton-long-sleeve-fluide-top-fts228je00950022,https://www.amiparis.com/cdn/shop/files/0b04f98b40c7c80cd4d0046d7e6f720e_00bd62ae-e762-42fb-9086-82f13f13776e.jpg?v=1732843732&width=500,https://www.amiparis.com/cdn/shop/files/910e7c6ad1cc53ce81c787cb8ba889e5.jpg?v=1732843732&width=2560,BLACK/DARK COFFEE
Drapped Top,Top,https://www.amiparis.com/en-us/products/blue-cotton-drapped-top-ftp041je00704011,https://www.amiparis.com/cdn/shop/files/6f3d0cc817f4bc12224cf22c24a47b6c_9eb89f80-ff0f-4132-ba05-b082d1f2cabf.jpg?v=1732843115&width=500,https://www.amiparis.com/cdn/shop/files/74289919a50ed09d0194ded9475865e1_98c7b227-9492-4a79-9fd0-c09278b227be.jpg?v=1732843115&width=2560,NAVY BLUE
Zipped Jumpsuit,Jumpsuit,https://www.amiparis.com/en-us/products/green-viscose-zipped-jumpsuit-fdr505vi00194013,https://www.amiparis.com/cdn/shop/files/d7ec5b46b13d51319287eaedd4fbfd15_d1fdb3ba-768f-4fe2-adef-53a4115f2afc.jpg?v=1732840356&width=500,https://www.amiparis.com/cdn/shop/files/0ffc39df0bbe5b733fcde7b13c8682dc_17f2bf85-bb50-4f66-a186-4009a72ff235.jpg?v=1732840356&width=2560,ANTIQUE CLAY
Low Necked Tanktop,Tanktop,https://www.amiparis.com/en-us/products/green-cotton-low-necked-tanktop-ftk128je00704013,https://www.amiparis.com/cdn/shop/files/01a069e8655cf47420dc93e84926c184_311f8a8f-3e09-4eaa-8690-9d106b1f82db.jpg?v=1732841798&width=500,https://www.amiparis.com/cdn/shop/files/12153c14d48f28771cdec60b0fe89925.jpg?v=1732841798&width=2560,ANTIQUE CLAY
Large Fit Trousers,Trousers,https://www.amiparis.com/en-us/products/green-wool-large-fit-trousers-ftr423wv00534013,https://www.amiparis.com/cdn/shop/files/653b1560566c0ff39866c22db135a3c0.jpg?v=1732843689&width=500,https://www.amiparis.com/cdn/shop/files/2c3d91adb994428e9084be4a8173c021.jpg?v=1732843689&width=2560,ANTIQUE CLAY
Alpaca Mohair Jacquard Crewneck,Crewneck,https://www.amiparis.com/en-us/products/beige-wool-alpaca-mohair-jacquard-crewneck-uks048kn00602024,https://www.amiparis.com/cdn/shop/files/da7758313b8295e667e1e3f5218cdcf4_155ccc36-1562-4249-93a3-1fd1f5fe4164.jpg?v=1732869062&width=500,https://www.amiparis.com/cdn/shop/files/6c9f838adc3f69bbcf4c52d36bbcaa3f_14283012-d7c0-4d58-bde9-470ce272943b.jpg?v=1732869062&width=2560,BEIGE/ANTIQUE CLAY
Embossed Ami de Coeur V Neck Sweater,Sweater,https://www.amiparis.com/en-us/products/green-wool-embossed-ami-de-coeur-v-neck-sweater-uks244kn0028303,https://www.amiparis.com/cdn/shop/files/30ffa515113bfd6115835c1ad01ee2ae_0f22fa9e-a638-4a08-9f09-9ec4d94c177e.jpg?v=1732840518&width=500,https://www.amiparis.com/cdn/shop/files/9469d270bea3ae6311f149cf2ffff046_8fca7639-b1c5-47e7-bdd3-84287d5862ff.jpg?v=1732840518&width=2560,GREEN AQUA
Embossed Ami de Coeur Funnel Neck Sweater,Sweater,https://www.amiparis.com/en-us/products/green-wool-embossed-ami-de-coeur-funnel-neck-sweater-uks444kn0028303,https://www.amiparis.com/cdn/shop/files/62bdf0ae80f771f50f546820e6d4384e_04d4f8e6-60d9-4eae-a783-38194b244946.jpg?v=1732840321&width=500,https://www.amiparis.com/cdn/shop/files/291ab608695ae6dd66b49e7e2d5f4731_1acc639b-23fa-4624-bfb7-0a486721b32d.jpg?v=1732840321&width=2560,GREEN AQUA
Drapped Top,Top,https://www.amiparis.com/en-us/products/brown-cotton-drapped-top-ftp041je0070221,https://www.amiparis.com/cdn/shop/files/b9858334cb744c73882459e47240a3bd_19d99f55-cd64-40e2-8666-ad71647157b0.jpg?v=1732843348&width=500,https://www.amiparis.com/cdn/shop/files/d137329bec11aaaa0e8b1df3d6598dec.jpg?v=1732843348&width=2560,DARK COFFEE
High Waist Large Trousers,Trousers,https://www.amiparis.com/en-us/products/brown-wool-high-waist-large-trousers-ftr428wv0026221,https://www.amiparis.com/cdn/shop/files/76d661053a0816f393790161f2482ac2_b62848fb-f2c2-4279-b707-d0af2f26c664.jpg?v=1732843298&width=500,https://www.amiparis.com/cdn/shop/files/c1875c8121f8ca68a2312ab542022ac5_12e09175-8579-4018-9cf7-8f592779f43f.jpg?v=1732843298&width=2560,DARK COFFEE
Large Fit Trousers,Trousers,https://www.amiparis.com/en-us/products/brown-wool-large-fit-trousers-ftr423wv00482007,https://www.amiparis.com/cdn/shop/files/0e6c86cc8c097d340f4e4c42e64390db_cf945b00-4b32-4a09-a072-85b612482459.jpg?v=1732843694&width=500,https://www.amiparis.com/cdn/shop/files/d2ca06100eafbed8aa1e9c45e83138af.jpg?v=1732843694&width=2560,DARK COFFE/SABLE
Double Breasted Jacket,Jacket,https://www.amiparis.com/en-us/products/brown-wool-double-breasted-jacket-fbv217wv0026221,https://www.amiparis.com/cdn/shop/files/90358fb9a014706539e76bb28f1a0028_90561a34-197a-4509-9223-22022d8b1588.jpg?v=1732842741&width=500,https://www.amiparis.com/cdn/shop/files/6b90354a47ad6238808d8a9902b411cd_5b711649-2431-442e-8a7d-2f2b8dbf8285.jpg?v=1732842741&width=2560,DARK COFFEE
Double Breasted Jacket,Jacket,https://www.amiparis.com/en-us/products/brown-wool-double-breasted-jacket-fbv217wv00482007,https://www.amiparis.com/cdn/shop/files/c8bf558da7efecc9551ffbc0757ee7a4_383b0d3b-7eb0-4cd5-9bc5-b325e0214a13.jpg?v=1732843264&width=500,https://www.amiparis.com/cdn/shop/files/2b15d90630e838837134c7c59b4f9f1c_475d5629-fcc0-4ec9-bea2-b9c2f78a2186.jpg?v=1732843264&width=2560,DARK COFFE/SABLE
Short Sleeve Top,Top,https://www.amiparis.com/en-us/products/brown-wool-short-sleeve-top-utp116wv00482007,https://www.amiparis.com/cdn/shop/files/688efc7411f9eb802e25ef9de24f86fa_c734f81c-c640-4b62-ab9c-dcc26ac6fd49.jpg?v=1732873382&width=500,https://www.amiparis.com/cdn/shop/files/5eb77cbc33ee23782c552c6c9f304ff2_b4387cda-6655-49b8-a927-daceb7d40152.jpg?v=1732873382&width=2560,DARK COFFE/SABLE
Double Breasted Jacket,Jacket,https://www.amiparis.com/en-us/products/beige-wool-double-breasted-jacket-fbv217wv0026255,https://www.amiparis.com/cdn/shop/files/2303c0d10153c80f8a28cbbcea1a6c86_ff015db9-312e-4422-a3cf-a4be47f5d334.jpg?v=1732842979&width=500,https://www.amiparis.com/cdn/shop/files/23b13f52658c8c11351190e9b0e3b9f7_8364208d-1637-48c4-8afa-e697dcd30bc8.jpg?v=1732842979&width=2560,SAND
Scarf Collar Shirt Dress,Dress,https://www.amiparis.com/en-us/products/beige-cotton-scarf-collar-shirt-dress-fdr104co0063255,https://www.amiparis.com/cdn/shop/files/e2964d85b2189c3032e4f440f099d4d5_45f54975-9eba-4b91-8c44-1c2e8659979d.jpg?v=1732842422&width=500,https://www.amiparis.com/cdn/shop/files/32acbd402f1eb4ccb9736c6651faafcc_aabebac1-74a2-4187-a9de-6e57233ea43d.jpg?v=1732842422&width=2560,SAND
Classic Shirt,Shirt,https://www.amiparis.com/en-us/products/beige-cotton-classic-shirt-fsh050co0063275,https://www.amiparis.com/cdn/shop/files/74d6f9128c7ce63b7a4c79c458e3a5c3_ab7fa7da-d1f9-4f11-be0c-a251d53b652e.jpg?v=1732842864&width=500,https://www.amiparis.com/cdn/shop/files/fe34ed9e07f3fa1fbe6536454c53d186_30906e40-436c-400f-b553-69ee748923da.jpg?v=1732842864&width=2560,SAND/WHITE
Classic Shirt,Shirt,https://www.amiparis.com/en-us/products/beige-viscose-classic-shirt-fsh051ac0009255,https://www.amiparis.com/cdn/shop/files/99e90e6f361e9d53c7d77b4c2094be31_09dbdc76-4f2e-44e6-b8f0-c9e5b7bdc967.jpg?v=1732843508&width=500,https://www.amiparis.com/cdn/shop/files/f3452b56f6b06b608da6bf210c93cf54.jpg?v=1732843508&width=2560,SAND
Ami de Coeur Classic Shirt,Shirt,https://www.amiparis.com/en-us/products/blue-cotton-ami-de-coeur-classic-shirt-fsh061co0063484,https://www.amiparis.com/cdn/shop/files/b3def3229c4147f7654a46074a4e62b5_01fc7cce-41ae-42a6-bc3f-283e824323f5.jpg?v=1732869763&width=500,https://www.amiparis.com/cdn/shop/files/16837fcbe28a3eedf668c26375c9b122.jpg?v=1732869763&width=2560,CASHMERE BLUE
