Name,Type,Color,Image_URL
HOMESTRETCH™ CREW WAIST T-SHIRT,T-SHIRT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_95025_30397_on_a.jpg
HOMESTRETCH™ CREW LONGSLEEVE,LONGSLEEVE,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_102669_33003_on_a.jpg
BUFFALO BILLS 9TWENTY HAT,HAT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n02_123636_33901_on_a.jpg
CONTOUR FLOURISH TOP,TOP,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_115232_2819_on_a.jpg
SAN FRANCISCO 49ERS 9TWENTY HAT,HAT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n02_123633_33896_on_a.jpg
BUTTER TUMBLER TANK,TANK,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_118435_18891_on_a.jpg
CRESCENT SOLID BRASS LEATHER BELT,BELT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n04_117177_1537_off_b.jpg
COZY FLEECE MEGA SWEATPANT™,SWEATPANT™,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a06_116237_33036_on_a.jpg
BOSTON CELTICS 9TWENTY HAT,HAT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n02_123628_33902_on_a.jpg
CONTOUR TUBE TOP,TOP,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_118415_2819_on_a.jpg
LOS ANGELES DODGERS CUFFED BEANIE,BEANIE,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n02_123752_31947_on_a.jpg
FRENCHY BLOUSE,BLOUSE,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a02_111838_11420_on_a.jpg
HALO SOLID BRASS LEATHER BELT,BELT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n04_120909_31898_off_b.jpg
COZY FLEECE PERFECT CREW SWEATSHIRT,SWEATSHIRT,Unknown,https://assets.aritzia.com/image/upload/medium/s24_99_a03_116210_10814_on_a.jpg
MERINO WOOL HEADBAND,HEADBAND,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n02_121084_27586_on_a.jpg
BUTTER MINI BRA TOP - A/B CUP,CUP,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_116678_33421_on_a.jpg
BUTTER EXERT SLIM HEADBAND,HEADBAND,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n02_124040_1274_on_a.jpg
OATS MERINO WOOL SWEATER,SWEATER,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a03_120486_2819_on_a.jpg
THE SUPER PUFF™ ANKLE SOCK 3-PACK,3-PACK,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n06_121336_1275_on_a.jpg
BEST-EVER ANKLE SOCK 3-PACK,3-PACK,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n06_114854_31897_on_b.jpg
CURATOR BIGGER BAG,BAG,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n08_117078_23833_on_b.jpg
HOMESTRETCH™ CREW LONGSLEEVE,LONGSLEEVE,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_102669_23354_on_b.jpg
HOMESTRETCH™ CREW T-SHIRT,T-SHIRT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_102668_23354_on_b.jpg
POLARTEC® THERMAL PRO® 1/2 ZIP SWEATER,SWEATER,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a03_90884_31040_on_b.jpg
BEST-EVER CREW SOCK 3-PACK,3-PACK,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n06_114988_1275_on_b.jpg
BEST-EVER ANKLE SOCK 5-PACK,5-PACK,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n06_114848_11420_on_b.jpg
BEST-EVER ANKLE SOCK 3-PACK,3-PACK,Unknown,https://assets.aritzia.com/image/upload/medium/f24_n06_118838_33783_on_b.jpg
HOMESTRETCH™ CREW WAIST T-SHIRT,T-SHIRT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_95025_4425_on_b.jpg
BESTHUG™ LITTLE RIBBED T-SHIRT,T-SHIRT,Unknown,https://assets.aritzia.com/image/upload/medium/f24_a01_68755_11884_on_b.jpg
PEGGY SWEATER,SWEATER,WHISPER WHITE,https://assets.aritzia.com/image/upload/medium/f24_a03_100791_2175_off_a.jpg
THE EFFORTLESS PANT™,PANT™,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a06_77775_1274_off_a.jpg
THE SUPER PUFF™,PUFF™,COAL GREY,https://assets.aritzia.com/image/upload/medium/f24_a05_117867_19629_off_a.jpg
REGAL VEST,VEST,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a04_115305_2819_off_a.jpg
INSPIRATION SWEATER,SWEATER,HEATHER NOMAD TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a03_115221_30793_off_a.jpg
AGENCY PANT,PANT,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a06_99378_6046_off_a.jpg
THE SLOUCH™ COAT NEW,NEW,BURNT CEDAR,https://assets.aritzia.com/image/upload/medium/f24_a05_102564_19070_off_a.jpg
THE LIMITLESS PANT™,PANT™,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a06_115785_11420_off_a.jpg
BUTTER ESSENTIAL CAMISOLE,CAMISOLE,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a01_118010_33421_off_a.jpg
