name,url,type
Jacquard knit short dress,https://us.maje.com/en/p/jacquard-knit-short-dress/MFPRO03923_O014.html,dress
Knit maxi dress with rhinestones,https://us.maje.com/en/p/knit-maxi-dress-with-rhinestones/MFPRO03824_0505.html,dress
Short faux fur coat,https://us.maje.com/en/p/short-faux-fur-coat/MFPOU01223_G005.html,coat
Short tweed jacket,https://us.maje.com/en/p/short-tweed-jacket/MFPVE00626_G005.html,jacket
Cropped faux fur jacket,https://us.maje.com/en/p/cropped-faux-fur-jacket/MFPVE00643_U020.html,jacket
Curly jacket,https://us.maje.com/en/p/curly-jacket/MFPOU01298_2517.html,jacket
Short curly coat,https://us.maje.com/en/p/short-curly-coat/MFPOU01267_0012.html,coat
Rhinestone jeans,https://us.maje.com/en/p/rhinestone-jeans/MFPJE00636_0201.html,jeans
Knit 2-in-1 short dress,https://us.maje.com/en/p/knit-2-in-1-short-dress/MFPRO03818_0103.html,dress
2-in-1 wool maxi dress,https://us.maje.com/en/p/2-in-1-wool-maxi-dress/MFPRO03815_G005.html,dress
Short knit dress,https://us.maje.com/en/p/short-knit-dress/MFPRO03682_0012.html,dress
Shiny knit maxi dress,https://us.maje.com/en/p/shiny-knit-maxi-dress/MFPRO03833_9974.html,dress
Knit maxi dress,https://us.maje.com/en/p/knit-maxi-dress/MFPRO03836_0103.html,dress
Rhinestone cardigan,https://us.maje.com/en/p/rhinestone-cardigan/MFPCA00516_2517.html,cardigan
Wool-blend cardigan,https://us.maje.com/en/p/wool-blend-cardigan/MFPCA00540_0067.html,cardigan
Wool and silk jumper,https://us.maje.com/en/p/wool-and-silk-jumper/MFPPU00823_G005.html,jumper
Knitted jumper with rhinestones,https://us.maje.com/en/p/knitted-jumper-with-rhinestones/MFPPU00873_0505.html,jumper
Tulle midi skirt,https://us.maje.com/en/p/tulle-midi-skirt/MFPJU00675_2517.html,skirt
Belted short coat,https://us.maje.com/en/p/belted-short-coat/MFPOU01128_0101.html,coat
Dress in ribbed knit,https://us.maje.com/en/p/dress-in-ribbed-knit/MFPRO03703_2517.html,knit
Jersey top with lace trim,https://us.maje.com/en/p/jersey-top-with-lace-trim/MFPTO00920_2517.html,top
Cropped faux fur jacket,https://us.maje.com/en/p/cropped-faux-fur-jacket/MFPVE00577_0130.html,jacket
Short pleated skirt,https://us.maje.com/en/p/short-pleated-skirt/MFPJU01332_U017.html,skirt
Skort,https://us.maje.com/en/p/skort/MFPSH00601_G005.html,skort
Contrast collar cardigan,https://us.maje.com/en/p/contrast-collar-cardigan/MFPCA00528_0101.html,cardigan
2-in-1 cardigan,https://us.maje.com/en/p/2-in-1-cardigan/MFPCA00526_2517.html,cardigan
Skort-style shorts,https://us.maje.com/en/p/skort-style-shorts/MFPSH00519_2517.html,shorts
Embroidered jeans,https://us.maje.com/en/p/embroidered-jeans-/MFPJE00628_0201.html,jeans
Embroidered denim jacket,https://us.maje.com/en/p/embroidered-denim-jacket-/MFPBL00730_0201.html,jacket
Maje Paris rhinestone T-shirt,https://us.maje.com/en/p/maje-paris-rhinestone-t-shirt/MFPTS00892_10.html,t-shirt
Trousers with jewellery detail,https://us.maje.com/en/p/trousers-with-jewellery-detail/MFPPA00665_2517.html,detail
"""Saint-Honoré"" diamanté T-shirt",https://us.maje.com/en/p/%22saint-honore%22-diamante-t-shirt/MFPTS00880_2517.html,t-shirt
Paris rhinestone T-shirt,https://us.maje.com/en/p/paris-rhinestone-t-shirt/MFPTS00864_10.html,t-shirt
Paris rhinestone T-shirt,https://us.maje.com/en/p/paris-rhinestone-t-shirt/MFPTS00864_0183.html,t-shirt
Oversize patterned shirt,https://us.maje.com/en/p/oversize-patterned-shirt/MFPCM00588_F048.html,shirt
Printed Maxi Skirt,https://us.maje.com/en/p/printed-maxi-skirt/MFPJU01307_F048.html,skirt
Embroidered tracksuit jacket,https://us.maje.com/en/p/embroidered-tracksuit-jacket/MFPSW00178_2517.html,jacket
Dual-material pleated skort,https://us.maje.com/en/p/dual-material-pleated-skort/MFPJU01319_2517.html,skort
Wide-leg striped jogging bottoms,https://us.maje.com/en/p/wide-leg-striped-jogging-bottoms/MFPPA00646_2517.html,bottoms
Embroidered rhinestone polo dress,https://us.maje.com/en/p/embroidered-rhinestone-polo-dress/MFPRO03711_2517.html,dress
Embroidered suit jacket,https://us.maje.com/en/p/embroidered-suit-jacket/MFPVE00586_2517.html,jacket
Short pleated skort,https://us.maje.com/en/p/short-pleated-skort/MFPJU01342_10.html,skort
Striped and embroidered polo shirt,https://us.maje.com/en/p/striped-and-embroidered-polo-shirt/MFPSW00177_O001.html,shirt
Short sequin dress,https://us.maje.com/en/p/short-sequin-dress/MFPRO03690_G005.html,dress
Longline wool cardigan,https://us.maje.com/en/p/longline-wool-cardigan/MFPCA00560_0103.html,cardigan
Sequin knit short dress,https://us.maje.com/en/p/sequin-knit-short-dress/MFPRO03825_0006.html,dress
Knitted jumper with rhinestones,https://us.maje.com/en/p/knitted-jumper-with-rhinestones/MFPCA00555_0505.html,jumper
Pleated knit short skirt,https://us.maje.com/en/p/pleated-knit-short-skirt/MFPJU01286_2517.html,skirt
Knit crop jumper with rhinestones,https://us.maje.com/en/p/knit-crop-jumper-with-rhinestones/MFPPU00801_0183.html,jumper
Knitted jumper with rhinestones,https://us.maje.com/en/p/knitted-jumper-with-rhinestones/MFPPU00858_0012.html,jumper
