name,url,type,first_color,last_image_url
Jacquard knit short dress,https://us.maje.com/en/p/jacquard-knit-short-dress/MFPRO03923_O014.html,dress,Blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw9a9a8f0b/images/packshot/Maje_MFPRO03923-O014_F_P.jpg?sw=1520&sh=2000
Knit maxi dress with rhinestones,https://us.maje.com/en/p/knit-maxi-dress-with-rhinestones/MFPRO03824_0505.html,dress,Grey,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe864ef6a/images/packshot/Maje_MFPRO03824-0505_F_P.jpg?sw=1520&sh=2000
Short faux fur coat,https://us.maje.com/en/p/short-faux-fur-coat/MFPOU01223_G005.html,coat,Brown,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw4ec8db31/images/packshot/Maje_MFPOU01223-G005_F_P.jpg?sw=1520&sh=2000
Short tweed jacket,https://us.maje.com/en/p/short-tweed-jacket/MFPVE00626_G005.html,jacket,Brown,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1a252738/images/packshot/Maje_MFPVE00626-G005_F_P.jpg?sw=1520&sh=2000
Cropped faux fur jacket,https://us.maje.com/en/p/cropped-faux-fur-jacket/MFPVE00643_U020.html,jacket,Leopard,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw42064d4d/images/packshot/Maje_MFPVE00643-U020_F_P.jpg?sw=1520&sh=2000
Curly jacket,https://us.maje.com/en/p/curly-jacket/MFPOU01298_2517.html,jacket,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1e18ada0/images/packshot/Maje_MFPOU01298-2517_F_P.jpg?sw=1520&sh=2000
Short curly coat,https://us.maje.com/en/p/short-curly-coat/MFPOU01267_0012.html,coat,Anthracite,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw10d4610e/images/packshot/Maje_MFPOU01267-0012_F_P.jpg?sw=1520&sh=2000
Rhinestone jeans,https://us.maje.com/en/p/rhinestone-jeans/MFPJE00636_0201.html,jeans,Blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2718bb72/images/packshot/Maje_MFPJE00636-0201_F_P.jpg?sw=1520&sh=2000
Knit 2-in-1 short dress,https://us.maje.com/en/p/knit-2-in-1-short-dress/MFPRO03818_0103.html,dress,Navy,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd49ac0d2/images/packshot/Maje_MFPRO03818-0103_F_P.jpg?sw=1520&sh=2000
2-in-1 wool maxi dress,https://us.maje.com/en/p/2-in-1-wool-maxi-dress/MFPRO03815_G005.html,dress,Brown,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwed6ce1ef/images/packshot/Maje_MFPRO03815-G005_F_P.jpg?sw=1520&sh=2000
Short knit dress,https://us.maje.com/en/p/short-knit-dress/MFPRO03682_0012.html,dress,Anthracite,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1d6c106f/images/packshot/Maje_MFPRO03682-0012_F_P.jpg?sw=1520&sh=2000
Shiny knit maxi dress,https://us.maje.com/en/p/shiny-knit-maxi-dress/MFPRO03833_9974.html,dress,Gold,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwedc2b8fe/images/packshot/Maje_MFPRO03833-9974_F_P.jpg?sw=1520&sh=2000
